,example_8000,graph_1k_14k,p_05,p_10,p_07,graph_1k_50k,geo1k_20k,geo1k_25k,example_5000,geo1k_4k,ba_1k_2k,p_09,ba_1k_6k,graph_1k_5k
0,23780,14000,24794,49862,34971,50000,20000,25000,7295,4000,1996,44749,5964,5000
1,57230,380665,1167159,4472274,2273702,4492633,425329,647502,8738,17173,18964,3641043,121927,49737
2,27621,3681,20187,165310,57191,166639,150013,230688,4085,5477,73,119291,1464,158
3,150669,10047050,52165157,360704151,137314691,362963610,9459784,17577550,11307,77191,127585,269503539,2133226,489757
4,15604,3353737,17388429,120259397,45801805,120904141,1621792,3001531,1171,13404,187116,89779758,1821522,164056
5,1084,72381,680095,10001787,2586488,10088579,99159,185388,82,728,243,6621369,15103,1234
6,107376,290953,2706373,40009115,10371130,40363610,6004808,11053783,7810,44481,5121,26474657,173036,4715
7,36218,4314,70286,2219315,390636,2243271,1706163,3128106,2631,11786,56,1299324,6101,25
8,18830,28,621,41135,4882,41189,653948,1209943,1306,4233,0,21283,207,0
9,383641,257480889,2213572352,26159063111,7702853675,26368294587,202884971,461064968,13798,339263,727200,18145366237,31778860,4765453
10,122735,257789118,2213563671,26165392216,7708156468,26348306300,108639225,246841170,4415,181493,3308632,18135355489,83376531,4796822
11,457,21562735,184502221,2181321189,643159308,2192669512,2247068,5135532,10,3853,2062292,1509450781,32875974,402982
12,127133,7441907,114835787,2902518556,582356000,2930296089,78338005,173638496,4341,118296,97211,1781635550,5907604,46374
13,299414,7450603,114839526,2901514241,581696671,2932622271,137430092,309359879,10763,209219,26476,1782824539,2216338,45806
14,22858,3729985,57423641,1451440932,291334237,1464083207,21771156,48639629,810,33086,109147,890270455,5628364,23333
15,1362,1483833,23117135,580375566,116148948,585792379,938936,2138752,58,1253,1082,356853993,155243,9704
16,6438,7423434,115423407,2902094496,580701923,2929580920,5786975,13334967,234,8986,19960,1782529664,2007069,48055
17,35960,220524,5964719,322090868,43906494,325526512,25772567,56592785,1269,37075,4078,174813576,707434,470
18,36387,53541,1488510,80481406,10995655,81469578,16142473,35957856,1216,22472,459,43753919,65728,114
19,136195,220977,5964080,321958124,43856400,325753734,56113802,123381079,4714,79118,1578,174913274,354766,471
20,0,35599,1001141,53639435,7293476,54287016,14947,33429,0,16,55,29164356,16541,80
21,4810,215557,5988255,321885201,43868444,325791810,3358851,7578559,168,4473,456,175117415,117658,482
22,3132,1040,51417,5958627,550961,6025892,1969974,4231136,116,2787,21,2857757,13056,1
23,61654,2815,105526,11939774,1097769,11960032,24368110,52840782,2055,32403,0,5726283,42583,0
24,40389,6433,310013,35732174,3304636,36179083,17746303,38745892,1465,22513,47,17157430,36386,2
25,682,3102,155420,17854299,1654174,18115208,542834,1211250,19,716,8,8586186,7416,3
26,42985,117,8116,1990711,123888,1990198,14784958,31950643,1370,18232,0,842875,5845,0
27,1230,51,4082,991833,62181,1004325,732374,1610385,39,943,0,420413,884,0
28,16412,0,162,73512,3132,73167,5163329,11134639,556,6114,0,27613,542,0
29,8682,0,1,772,20,818,1984460,4322040,269,2226,0,248,34,0
