Pair,Hellinger
sf-n4000-g2_2-kmin3-4---graph_1k_8k,0.3387077797182543
ba_1k_15k---graph_1k_8k,0.2834517281862377
sf-n4000-g2_2-kmin3-5---graph_1k_8k,0.3372966298522987
graph_1k_15k---graph_1k_8k,0.0599488677533045
geo1k_50k---graph_1k_8k,0.5389499972593872
twitch6---graph_1k_8k,0.628144248286957
twitch4---graph_1k_8k,0.628159945816745
sf-n4000-g2_2-kmin3-7---graph_1k_8k,0.3374190866121081
graph_1k_35k---graph_1k_8k,0.1551516604517601
graph_1k_4k---graph_1k_8k,0.0720281836743745
rnd_n4000_p0_0015_09---graph_1k_8k,0.1297954192774102
rnd_n4000_p0_0015_08---graph_1k_8k,0.12602487202713
rnd_n4000_p0_0015_20---graph_1k_8k,0.1289862160985504
sf-n4000-g2_2-kmin3-6---graph_1k_8k,0.3397209504860351
twitch5---graph_1k_8k,0.5354528456215963
twitch1---graph_1k_8k,0.7339593682600756
sf-n4000-g2_2-kmin3-2---graph_1k_8k,0.3333468080940204
rnd_n4000_p0_0015_18---graph_1k_8k,0.1279001011204894
graph_1k_5k---graph_1k_8k,0.0472752990256043
rnd_n4000_p0_0015_19---graph_1k_8k,0.1244619904717068
sf-n4000-g2_2-kmin3-3---graph_1k_8k,0.3377646807056872
geo1k_30k---graph_1k_8k,0.5221174445512562
twitch2---graph_1k_8k,0.5992914513776736
example_8000_0p01557_19---graph_1k_8k,0.5988432461218844
sf-n4000-g2_3-kmin4-9---graph_1k_8k,0.3155178792074574
graph_1k_200k---graph_1k_8k,0.5912910389033577
graph_10k_200k---graph_1k_8k,0.0832099544123245
graph_1k_14k---graph_1k_8k,0.0531357685212661
sf-n4000-g2_2-kmin3-1---graph_1k_8k,0.3413252476806048
p_08---graph_1k_8k,0.1738470761331025
geo1k_10k---graph_1k_8k,0.4977470223450264
p_20---graph_1k_8k,0.3508013113034321
p_09---graph_1k_8k,0.1904724439414316
sf-n4000-g2_2-kmin3-0---graph_1k_8k,0.3359416160462239
graph_1k_80k---graph_1k_8k,0.2986514488586966
sf-n4000-g2_3-kmin4-8---graph_1k_8k,0.3177488552726226
example_8000_0p01557_18---graph_1k_8k,0.5938997589074779
twitch3---graph_1k_8k,0.5260761583505872
sf-n4000-g2_2-kmin2-7---graph_1k_8k,0.3256229162478483
ba_1k_8k---graph_1k_8k,0.2814231155237637
graph_1k_25k---graph_1k_8k,0.1129657829938374
example_5000_0p01382_14---graph_1k_8k,0.6577217587113081
rnd_n8000_p0_00075_07---graph_1k_8k,0.1333172323882772
rnd_n8000_p0_00075_13---graph_1k_8k,0.1326879431610056
example_8000_0p01557_8---graph_1k_8k,0.5993649268360519
example_8000_0p01557_9---graph_1k_8k,0.6009313950578673
rnd_n8000_p0_00075_12---graph_1k_8k,0.1332980623022778
rnd_n8000_p0_00075_06---graph_1k_8k,0.1325964231021023
ba_1k_25k---graph_1k_8k,0.3008653364876107
example_5000_0p01382_15---graph_1k_8k,0.6565808808751574
sf-n4000-g2_2-kmin2-6---graph_1k_8k,0.3286418852923522
sf-n4000-g2_2-kmin2-4---graph_1k_8k,0.3315324611782165
example_5000_0p01382_17---graph_1k_8k,0.6598088519627118
rnd_n8000_p0_00075_10---graph_1k_8k,0.1331954377838453
rnd_n8000_p0_00075_04---graph_1k_8k,0.1323417118414489
graph_10k_600k---graph_1k_8k,0.0959739996786859
geo1k_40k---graph_1k_8k,0.5326397615210099
graph_10k_80k---graph_1k_8k,0.0825477375621455
rnd_n8000_p0_00075_05---graph_1k_8k,0.1336759957909329
rnd_n8000_p0_00075_11---graph_1k_8k,0.1350015012442317
example_5000_0p01382_16---graph_1k_8k,0.6625087052420856
sf-n4000-g2_2-kmin2-5---graph_1k_8k,0.3382133236207519
sf-n4000-g2_2-kmin2-1---graph_1k_8k,0.3272464354414925
geo1k_8k---graph_1k_8k,0.4971670631284641
example_5000_0p01382_12---graph_1k_8k,0.6617779970111102
rnd_n8000_p0_00075_15---graph_1k_8k,0.1361354814357706
rnd_n8000_p0_00075_01---graph_1k_8k,0.1325431957180738
graph_1k_12k---graph_1k_8k,0.0383226732243086
graph_10k_800k---graph_1k_8k,0.1012784845727045
rnd_n8000_p0_00075_14---graph_1k_8k,0.1329239128205436
graph_10k_400k---graph_1k_8k,0.0904255070638255
example_5000_0p01382_13---graph_1k_8k,0.6443280603303421
sf-n4000-g2_2-kmin2-0---graph_1k_8k,0.3350176800392098
sf-n4000-g2_2-kmin2-2---graph_1k_8k,0.3318987736553377
example_5000_0p01382_11---graph_1k_8k,0.6463069626969848
rnd_n8000_p0_00075_02---graph_1k_8k,0.1309457683858541
rnd_n8000_p0_00075_16---graph_1k_8k,0.1346199501208439
rnd_n8000_p0_00075_17---graph_1k_8k,0.1327722373234881
rnd_n8000_p0_00075_03---graph_1k_8k,0.1347543484433251
example_5000_0p01382_10---graph_1k_8k,0.6527890974604855
sf-n4000-g2_2-kmin2-3---graph_1k_8k,0.3311182441251106
graph_10k_20k---graph_1k_8k,0.1851737495704773
graph_10k_120k---graph_1k_8k,0.079542029404032
example_8000_0p01557_1---graph_1k_8k,0.6029927431913088
example_8000_0p01557_0---graph_1k_8k,0.6029493653845184
geo1k_35k---graph_1k_8k,0.5273051759057403
graph_1k_70k---graph_1k_8k,0.2701682852088678
graph_1k_50k---graph_1k_8k,0.2083129177905831
rnd_n8000_p0_00075_19---graph_1k_8k,0.1355448528113318
example_8000_0p01557_2---graph_1k_8k,0.6000187077636181
graph_10k_100k---graph_1k_8k,0.0808674961995618
graph_1k_100k---graph_1k_8k,0.3523911970041297
example_8000_0p01557_3---graph_1k_8k,0.595958721800352
rnd_n8000_p0_00075_18---graph_1k_8k,0.1301174312362183
ba_1k_50k---graph_1k_8k,0.3644887757204479
sf-n4000-g2_2-kmin2-8---graph_1k_8k,0.3294447662614511
graph_10k_140k---graph_1k_8k,0.0800655630938736
rnd_n8000_p0_00075_08---graph_1k_8k,0.1348288213340298
rnd_n8000_p0_00075_20---graph_1k_8k,0.1331295933466205
graph_10k_40k---graph_1k_8k,0.1112635403880285
example_8000_0p01557_7---graph_1k_8k,0.5936573446381258
ba_1k_10k---graph_1k_8k,0.2806126601846827
geo1k_14k---graph_1k_8k,0.5059244983024641
example_8000_0p01557_6---graph_1k_8k,0.6039469342912533
