,RGFDist,SimDisp,Hellinger,Minkowski
graph_1k_14k-example_8000,54.67054408497236,0.6547981820598512,0.5927585120291183,0.4922117336292898
p_05-example_8000,61.709552331196846,0.6383481058003063,0.5762392188817012,0.4726553010505662
p_10-example_8000,51.070887804498966,0.5905501397510989,0.5408552970103667,0.4166560973571159
p_07-example_8000,56.358328797193586,0.6184142739148345,0.5606528838902128,0.44994104688672165
graph_1k_50k-example_8000,51.05372163597869,0.5903230844747354,0.5406825424176842,0.41638444413679204
geo1k_20k-example_8000,15.460975376458043,0.2291815348479146,0.2744256978888468,0.1443685738872954
geo1k_25k-example_8000,16.59838648913782,0.2368729811574529,0.2847714407077206,0.14950504826009237
example_5000-example_8000,6.204752974677132,0.2375132405475839,0.20187847236517012,0.141554726708955
geo1k_4k-example_8000,7.076464426846732,0.16685650726313234,0.1537491686012359,0.10180345877069698
ba_1k_2k-example_8000,37.489386634845815,0.7556145090881629,0.7029684991744622,0.5790460843463462
p_09-example_8000,52.72750674672108,0.6005151224913392,0.5475061780793256,0.4283008469535933
ba_1k_6k-example_8000,47.455862358215825,0.6476373020973579,0.6283754069731299,0.511596153722788
graph_1k_5k-example_8000,42.935447972934874,0.6424282102302286,0.6040321155970669,0.48803868102165615
p_05-graph_1k_14k,10.95413563346898,0.038233204633017506,0.060359983383156096,0.026922940315579465
p_10-graph_1k_14k,25.17408452101379,0.1292264037111158,0.15991957450238706,0.09558267759790542
p_07-graph_1k_14k,18.00182293620337,0.07564155720471878,0.10538310472515712,0.05485360056626247
graph_1k_50k-graph_1k_14k,25.194384489261942,0.12959213600771372,0.16026119442155698,0.09583254184909974
geo1k_20k-graph_1k_14k,44.673894144499165,0.5213916951036743,0.4924961093339012,0.41047663259142625
geo1k_25k-graph_1k_14k,44.66031476378872,0.5161320883458561,0.4885842917727466,0.4066057450699092
example_5000-graph_1k_14k,55.82922888226736,0.7411375957300224,0.6592627601964394,0.5461957393784906
geo1k_4k-graph_1k_14k,51.027565861428656,0.5316638389299916,0.48753303213007987,0.4072859642259565
ba_1k_2k-graph_1k_14k,10.946923705689983,0.35771244842706296,0.36412318782888503,0.43501288356734225
p_09-graph_1k_14k,22.933125317835092,0.1104309804385629,0.14173596728096846,0.08122508566991234
ba_1k_6k-graph_1k_14k,18.375776420351848,0.2645221507617704,0.26244797373146805,0.3067102436208622
graph_1k_5k-graph_1k_14k,15.312906487140545,0.04146881438514091,0.09940720789180812,0.03396364772452599
p_10-p_05,17.533492142717947,0.0909931990780983,0.10132736475353042,0.06933559903467762
p_07-p_05,8.518441416150225,0.03740835257170128,0.045687205722979594,0.028265362878086394
graph_1k_50k-p_05,17.570102459833684,0.0913589313746962,0.10167438925793353,0.06958473965452229
geo1k_20k-p_05,50.97224388753522,0.49777455601047405,0.45900769448189455,0.3885175110194759
geo1k_25k-p_05,50.07953297397557,0.49021212966869526,0.4544165499323303,0.3846232034396211
example_5000-p_05,62.67606564801164,0.7270818336834604,0.65182707147124,0.5285344726313983
geo1k_4k-p_05,57.82616005455416,0.5152137626704465,0.4638454101614677,0.38651150478939117
ba_1k_2k-p_05,17.387640315355878,0.376082804837957,0.3740743038029925,0.4283725004905002
p_09-p_05,14.711302941938806,0.07219777580554541,0.08273716284198462,0.0548663839971796
ba_1k_6k-p_05,18.418233801586673,0.2680619947089379,0.25519913749729445,0.2983035642319344
graph_1k_5k-p_05,23.376190968142218,0.07104026655616949,0.15609031471105836,0.05133006437199184
p_07-p_10,9.015050726567718,0.05358484650639701,0.0559395684846835,0.04112507553386146
graph_1k_50k-p_10,0.06572740096413754,0.0004287237024446778,0.00042368072906539,0.0003831421463257964
geo1k_20k-p_10,39.760252859569114,0.43805071937380247,0.39960709920478354,0.32952719684502607
geo1k_25k-p_10,38.69732490366924,0.43006833808685013,0.39427515085876386,0.32578794764783064
example_5000-p_10,52.70982795509087,0.6817808237936097,0.6301812974741822,0.47596705995182115
geo1k_4k-p_10,47.13173127310955,0.45775414860825564,0.4185898508684358,0.3285631543172728
ba_1k_2k-p_10,26.91404865184059,0.42131005958412426,0.4035952868046679,0.4135640366208878
p_09-p_10,2.8221892007791407,0.018795423272552892,0.018768007127118704,0.014501639276842653
ba_1k_6k-p_10,14.895307890201302,0.29096034617383554,0.2677596883601418,0.2825669028517384
graph_1k_5k-p_10,33.40802918145724,0.16203346563426776,0.24760553933936366,0.10876662254885244
graph_1k_50k-p_07,9.05166104368346,0.0539505788029949,0.056288239866983426,0.04137553254997676
geo1k_20k-p_07,45.51380901250447,0.4739946327730471,0.4320877585562278,0.3643495931909242
geo1k_25k-p_07,44.62279534236358,0.4664324656223653,0.4271137468780562,0.36049629810540196
example_5000-p_07,57.66336730003369,0.7092622302996301,0.6426046844255715,0.507282888622952
geo1k_4k-p_07,52.60066556958445,0.492347630886433,0.44339034930266275,0.36288358414641464
ba_1k_2k-p_07,22.018809295651586,0.39265140840020113,0.38515501217806275,0.421158685374813
p_09-p_07,6.1928615257885795,0.034789423233844104,0.037216775246683945,0.026635019673356315
ba_1k_6k-p_07,15.289382243879196,0.2731957641180589,0.25657934492928663,0.29006510810643893
graph_1k_5k-p_07,28.377923955615294,0.10844861912787077,0.19750988639590214,0.07291518990234223
geo1k_20k-graph_1k_50k,39.74488634822554,0.4378050594739136,0.39936326020349183,0.3292321400081062
geo1k_25k-graph_1k_50k,38.68195839232567,0.4298226781869612,0.3940277866807338,0.32549076894444334
example_5000-graph_1k_50k,52.69847938421039,0.6815555607508628,0.6300652994841784,0.4757425057960083
geo1k_4k-graph_1k_50k,47.11564268760237,0.4575083644667658,0.418393705342612,0.3282780987476473
ba_1k_2k-graph_1k_50k,26.94052146549395,0.4217368341203543,0.40390697746879156,0.4137704624093727
p_09-graph_1k_50k,2.8587995178948797,0.01916115556915079,0.01911443709774691,0.014747855508987936
ba_1k_6k-graph_1k_50k,14.913209380282051,0.29136963743156763,0.26805952478709516,0.2828013362262674
graph_1k_5k-graph_1k_50k,33.43526444008501,0.16239919793086569,0.24792213627745027,0.10900462329726235
geo1k_25k-geo1k_20k,1.2245116503027544,0.00962878961714145,0.012264949615005752,0.006687529021817508
example_5000-geo1k_20k,20.761099792728924,0.45560004407528726,0.44961162098472574,0.2646326398416322
geo1k_4k-geo1k_20k,10.572333833938425,0.11000266774958962,0.15911046606898516,0.06698625970889005
ba_1k_2k-geo1k_20k,33.291920311218966,0.68784632528889,0.6311154047752642,0.5401364437909195
p_09-geo1k_20k,41.519629948720095,0.4507279454880836,0.4103777171575757,0.34164601350790474
ba_1k_6k-geo1k_20k,37.42533502997608,0.55393861602139,0.5235184358001963,0.45433304988540185
graph_1k_5k-geo1k_20k,40.023067605885636,0.547775735690136,0.5377331644224447,0.41345247676046043
example_5000-geo1k_25k,21.804084992382275,0.4603973060569992,0.4586186949774547,0.269412721353656
geo1k_4k-geo1k_25k,11.595095122657547,0.11473591426299717,0.16877103139858665,0.07036787306564664
ba_1k_2k-geo1k_25k,33.44165135363665,0.6878238839442334,0.6296912544256082,0.5400813178985108
p_09-geo1k_25k,40.54715807149469,0.44297120083171143,0.40514991313678167,0.3378563077073868
ba_1k_6k-geo1k_25k,37.39922267565364,0.5535450766848526,0.5209290632946533,0.45339427005403793
graph_1k_5k-geo1k_25k,40.17780089085555,0.542785551654115,0.5353281219512527,0.40987248105089086
geo1k_4k-example_5000,11.055001230874147,0.3487714020455004,0.3185542661011902,0.21497971497088564
ba_1k_2k-example_5000,38.5029293519781,0.7767666422341555,0.7377297991283787,0.590567558428181
p_09-example_5000,54.143463252531944,0.6916854254002991,0.6344155028093572,0.4869613013884205
ba_1k_6k-example_5000,48.24898450891192,0.7090917942478436,0.6872619038979908,0.5369873372785785
graph_1k_5k-example_5000,44.24023009309335,0.7247671702429695,0.6523428934410761,0.5378520297905643
ba_1k_2k-geo1k_4k,34.74596343671249,0.6770445922289773,0.6159415680267851,0.5303646060403547
p_09-geo1k_4k,48.77883189401573,0.46979365740755386,0.4268053817423658,0.3405327915672325
ba_1k_6k-geo1k_4k,42.73129460911948,0.5565057484320566,0.5216090061531266,0.44706848613660327
graph_1k_5k-geo1k_4k,39.97564533192734,0.5202613523956395,0.5123516996408658,0.4057408772466922
p_09-ba_1k_2k,25.38805222397661,0.4113844158269545,0.39710271843736,0.41610466187276046
ba_1k_6k-ba_1k_2k,15.374448836956596,0.14219883218318982,0.15193260381692633,0.14292358225989038
graph_1k_5k-ba_1k_2k,12.938831998226897,0.36099666700003297,0.36184622947447936,0.4316691875115633
ba_1k_6k-p_09,14.678256787969413,0.2835139921549558,0.26317643374297645,0.2848758985124506
graph_1k_5k-p_09,31.844004069460574,0.14323804236171492,0.23091230590852493,0.09578796477037609
graph_1k_5k-ba_1k_6k,24.311319131769075,0.2928665406474962,0.29280396355932314,0.3057793223380671
